,time_flag
0,True
1,True
2,True
3,True
4,True
5,False
6,True
7,True
8,True
9,True
10,True
11,True
12,False
13,True
14,True
15,True
16,True
17,True
18,True
19,True
20,True
21,True
22,True
23,False
24,True
25,True
26,True
27,True
28,True
29,True
30,True
31,True
32,False
33,True
34,True
35,True
36,True
37,True
38,True
39,True
40,False
41,True
42,True
43,True
44,True
45,True
46,True
47,True
48,True
49,True
50,True
51,True
52,True
53,True
54,True
55,True
56,True
57,True
58,True
59,True
60,True
61,True
62,True
63,True
64,True
65,True
66,True
67,True
68,True
69,True
70,True
71,True
72,True
73,True
74,True
75,True
76,True
77,True
78,True
79,True
80,False
81,True
82,True
83,False
84,True
85,False
86,True
87,True
88,True
89,True
90,True
91,True
92,True
93,True
94,True
95,True
96,True
97,True
98,True
99,True
100,True
101,True
102,True
103,True
104,False
105,True
106,True
107,True
108,True
109,True
110,True
111,True
112,True
113,True
114,True
115,True
116,False
117,True
118,True
119,True
120,True
121,True
122,True
123,False
124,True
125,True
126,True
127,True
128,True
129,True
130,True
131,True
132,True
133,True
134,True
135,True
136,True
137,True
138,True
139,True
140,True
141,True
142,True
143,True
144,True
145,False
146,True
147,True
148,True
149,True
150,True
151,True
152,True
153,True
154,True
155,False
156,False
157,True
158,True
159,False
160,True
161,False
162,False
163,False
164,True
165,True
166,True
167,True
168,True
169,False
170,True
171,True
172,True
173,True
174,True
175,True
176,True
177,True
178,True
179,False
180,True
181,True
182,True
183,True
184,True
185,False
186,True
187,True
188,True
189,True
190,True
191,True
192,False
193,True
194,True
195,True
196,True
197,True
198,True
199,True
200,True
201,True
202,True
203,False
204,True
205,True
206,True
207,True
208,True
209,True
210,True
211,True
212,True
213,True
214,True
215,True
216,True
217,True
218,True
219,False
220,True
221,True
222,True
223,True
224,True
225,True
226,True
227,True
228,True
229,True
230,False
231,True
232,True
233,True
234,True
235,True
236,True
237,True
238,True
239,True
240,False
241,True
242,True
243,True
244,True
245,True
246,True
247,True
248,True
249,True
250,True
251,True
252,True
253,True
254,False
255,True
256,True
257,True
258,True
259,False
260,True
261,True
262,False
263,True
264,True
265,True
266,True
267,True
268,True
269,True
270,True
271,True
272,True
273,True
274,True
275,True
276,True
277,True
278,True
279,True
280,True
281,True
282,True
283,True
284,True
285,True
286,True
287,True
288,True
289,False
290,True
291,True
292,True
293,True
294,True
295,True
296,True
297,True
298,True
299,True
300,True
301,True
302,True
303,True
304,True
305,False
306,True
307,False
308,False
309,False
310,True
311,True
312,True
313,True
314,True
315,True
316,True
317,True
318,True
319,True
320,True
321,True
322,True
323,True
324,True
325,True
326,False
327,True
328,True
329,True
330,True
331,True
332,True
333,True
334,True
335,True
336,True
337,True
338,True
339,True
340,True
341,True
342,True
343,True
344,True
345,True
346,True
347,True
348,True
349,False
350,True
351,False
352,True
353,True
354,True
355,True
356,True
357,True
358,True
359,True
360,True
361,True
362,True
363,True
364,True
365,True
366,True
367,True
368,True
369,True
370,True
371,True
372,True
373,True
374,False
375,True
376,True
377,True
378,True
379,True
380,True
381,True
382,True
383,True
384,True
385,True
386,True
387,True
388,True
389,True
390,True
391,True
392,True
393,True
394,True
395,True
396,True
397,True
398,True
399,False
400,False
401,True
402,True
403,True
404,True
405,True
406,True
407,True
408,False
409,True
410,True
411,False
412,True
413,False
414,True
415,True
416,True
417,True
418,True
419,True
420,False
421,True
422,True
423,True
424,True
425,True
426,True
427,True
428,True
429,True
430,True
431,True
432,True
433,True
434,True
435,True
436,False
437,True
438,True
439,True
440,True
441,False
442,False
443,True
444,True
445,True
446,True
447,True
448,True
449,True
450,True
451,False
452,True
453,True
454,True
455,True
456,True
457,True
458,True
459,True
460,True
461,True
462,True
463,False
464,True
465,True
466,True
467,True
468,True
469,True
470,True
471,True
472,True
473,True
474,False
475,True
476,True
477,True
478,True
479,True
480,True
481,True
482,True
483,True
484,True
485,True
486,True
487,True
488,True
489,True
490,True
491,True
492,True
493,True
494,True
495,True
496,True
497,True
498,True
499,True
500,True
501,True
502,True
503,True
504,True
505,True
506,True
507,True
508,True
509,True
510,True
511,True
512,False
513,True
514,True
515,True
516,True
517,True
518,True
519,True
520,True
521,True
522,True
523,True
524,True
525,True
526,True
527,True
528,True
529,True
530,True
531,True
532,True
533,True
534,True
535,True
536,True
537,True
538,True
539,True
540,True
541,True
542,True
543,False
544,True
545,True
546,True
547,True
548,False
549,True
550,True
551,True
552,True
553,True
554,True
555,True
556,True
557,True
558,True
559,False
560,True
561,True
562,True
563,True
564,True
565,True
566,True
567,True
568,True
569,True
570,True
571,True
572,False
573,False
574,True
575,False
576,True
577,False
578,True
579,True
580,True
581,True
582,True
583,True
584,True
585,True
586,True
587,True
588,True
589,True
590,True
591,True
592,False
593,True
594,True
595,True
596,False
597,True
